location,source,target,id,fuzzy,context,translator_comments,developer_comments
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:74,Ich will mit dir handeln.,我想与你做交意。,,,Info_Bartholo_PERM_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:75,Ich habe einiges da - wenn du genug Erz hast.,我有许多东西－－如果你有足够的矿石。,,,Info_Bartholo_PERM_12_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:88,Ich habe ne Ladung Kraut von Cor Kalom für Gomez.,寇尔卡隆让我带了一些沼泽烟草给葛梅兹。,,,Info_Bartholo_Krautbote.description,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:101,Ich habe 'ne Ladung Kraut von Cor Kalom für Gomez.,寇尔卡隆让我带了一些沼泽烟草给葛梅兹。,,,Info_Bartholo_Krautbote_15_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:102,Zeig her!,给我看看！,,,Info_Bartholo_Krautbote_12_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:106,Hmmmmmmm ...,唔．．．．．．,,,Info_Bartholo_Krautbote_12_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:107,"Gut! Gomez ist beinahe ungeduldig geworden. Sei froh, dass du es heute noch abgeliefert hast!",好！葛梅兹一直很不耐烦。你很幸运在今天将东西送来！,,,Info_Bartholo_Krautbote_12_03,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:108,Was ist mit der Bezahlung?,付款如何？,,,Info_Bartholo_Krautbote_15_04,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:109,"Nicht so eilig ... Hier, nimm. 500 Erz waren abgemacht.",不急．．．给，拿着。我们同意用５００矿石买下。,,,Info_Bartholo_Krautbote_12_05,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:123,"Du hast zu wenig Kraut für einen Boten! Ich will für dich nicht hoffen, dass du das Zeug verscherbelt hast! Komm wieder, wenn du die richtige Menge dabei hast!",你带得沼泽烟草不够！我希望你没有在别处卖掉一些！当你有足够的沼泽烟草时再来吧！,,,Info_Bartholo_Krautbote_NoKraut_12_00,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:150,"Ich hatte mir fast gedacht, dass es jemand durch das Pentagramm versuchen würde!",我知道有人企图通过星印室攻击我们！,,,Info_Bartholo_12_01,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:151,Aber im Gegensatz zu diesem verräterischen Schmied Stone brauchen wir dich nicht mehr!,但是，和叛徒铁匠史东不同的是，我们不再需要你了！,,,Info_Bartholo_12_02,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:152,Wo ist Stone?,史东在哪儿？,,,Info_Bartholo_15_03,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:153,Hinter Gittern! Aber dafür wirst du gleich unter der Erde liegen!,在栅栏后面！但你必须一分钟走六英尺才能见到他！,,,Info_Bartholo_12_04,,
Scripts/content/Story/MISSIONS/DIA_EBR_106_Bartholo.d:154,"Schnappt ihn euch, Jungs, und macht ihn kalt!",大伙快点捉住他并且杀了他！,,,Info_Bartholo_12_05,,
